"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","threshold"
"LSM7",4.83087943010223e-09,-1.1779104016097,0.019,0.047,0.000236630967124698,"down"
"ARHGAP24",5.04004230584764e-09,0.307330475023187,0.574,0.535,0.000246876392267335,"ns"
"HMGCS1",5.09050687073786e-09,-0.422634851738655,0.134,0.197,0.000249348298049353,"ns"
"NDUFS7",5.23018267408813e-09,-0.796395659289001,0.034,0.069,0.000256190037924859,"ns"
"ARVCF",5.23377166845368e-09,-1.12402757505236,0.021,0.049,0.000256365837635867,"down"
"UQCR11.1",5.23792612740918e-09,-1.40850132739999,0.01,0.033,0.000256569335498884,"down"
"TCEB2",5.39054789254248e-09,-0.598786571937092,0.065,0.11,0.000264045207420409,"ns"
"TNS2",5.4376987696714e-09,-0.76148784818785,0.047,0.086,0.000266354798834814,"ns"
"DDA1",5.58175612963114e-09,-0.73406438199736,0.023,0.054,0.000273411160497722,"ns"
"URGCP",5.63490327757123e-09,-0.803618028341523,0.036,0.07,0.000276014467245272,"ns"
"PFDN2",5.83570263123818e-09,-0.949058235214012,0.032,0.065,0.00028585022198594,"ns"
"LUC7L3",5.8812502771469e-09,-0.237447221355162,0.478,0.573,0.000288081282325487,"ns"
"SERPING1",6.07828592221873e-09,-1.18258334910535,0.018,0.045,0.00029773267932804,"down"
"RPL21",6.29867781833468e-09,-1.17615998054539,0.028,0.06,0.000308528135575487,"down"
"SKP1",6.36343274680104e-09,-0.476210780633443,0.107,0.161,0.000311700026236555,"ns"
"RBM3",6.67540833473005e-09,-0.918616004683058,0.04,0.076,0.000326981526460082,"ns"
"ARHGAP29",6.69169501469706e-09,-0.519271389221205,0.061,0.105,0.000327779296904906,"ns"
"AAK1",6.96297280620925e-09,-0.255815529035396,0.199,0.273,0.000341067296966548,"ns"
"ARF3",6.96764878490795e-09,-8.15204755918781,0,0.013,0.000341296340431146,"down"
"MIA2",6.96764878490795e-09,-8.03803447658184,0,0.013,0.000341296340431146,"down"
"RAB5C",6.96764878490795e-09,-8.14294388158149,0,0.013,0.000341296340431146,"down"
"ALDH4A1",6.96764878490795e-09,-8.37709625166346,0,0.013,0.000341296340431146,"down"
"ERF",6.96764878490795e-09,-8.2495832914854,0,0.013,0.000341296340431146,"down"
"MIR3936HG",6.96764891566122e-09,-8.11422944940042,0,0.013,0.000341296346835834,"down"
"VPS13B-DT",6.96764891566122e-09,-8.22413687566832,0,0.013,0.000341296346835834,"down"
"SHLD2",6.96764891566122e-09,-8.33585782641137,0,0.013,0.000341296346835834,"down"
"ZDHHC9",6.97120224871804e-09,-1.2667563096141,0.017,0.044,0.000341470399748956,"down"
"TXNIP",7.2707346905325e-09,1.14971863566392,0.058,0.029,0.000356142397346353,"up"
"MT-RNR1",7.76573716598283e-09,0.415294392051852,0.233,0.176,0.000380389103601337,"ns"
"ZSWIM6",7.94171654341363e-09,0.161820300980709,0.579,0.552,0.00038900910144603,"ns"
"SMAD3",8.06073076049719e-09,-0.542915821638149,0.076,0.123,0.000394838774841434,"ns"
"EFR3A",8.57846831777493e-09,-0.226530914506692,0.177,0.247,0.000420199113609569,"ns"
"CYP4F22",8.61512564188225e-09,-0.568745837846195,0.013,0.038,0.000421994699316318,"ns"
"ANTXR1",8.75147445178012e-09,-0.242222639829015,0.177,0.246,0.000428673473071545,"ns"
"ARL6IP4",8.79022602070804e-09,-2.02769440868011,0.006,0.025,0.000430571641172342,"down"
"RP11-166O4.6",9.4012992699432e-09,-0.640582530642852,0.019,0.047,0.000460503842139628,"ns"
"RP11-586K2.1",9.48909450222357e-09,-0.863237132233606,0.024,0.053,0.000464804316002417,"ns"
"FAM162A",9.83369583153049e-09,-0.599718032967118,0.07,0.115,0.000481683922915858,"ns"
"GRIA4",1.00421799120118e-08,-0.344937753440364,0.121,0.179,0.000491896098630074,"ns"
"NCBP3",1.00846603146526e-08,-8.24657238333572,0,0.013,0.000493976916192628,"down"
"TMBIM4",1.00846605039467e-08,-8.063302263756,0,0.013,0.000493976925464822,"down"
"AC008771.1",1.00846605039467e-08,-7.86077151039408,0,0.013,0.000493976925464822,"down"
"SEPTIN4",1.00846605039467e-08,-8.29613150857839,0,0.013,0.000493976925464822,"down"
"ZHX1",1.00846606932408e-08,-8.21176119192655,0,0.013,0.000493976934737016,"down"
"FXYD6",1.00846606932408e-08,-8.27585886999489,0,0.013,0.000493976934737016,"down"
"RWDD3",1.00846606932408e-08,-8.26073010814434,0,0.013,0.000493976934737016,"down"
"TNFSF13",1.00846606932408e-08,-8.16500310676875,0,0.013,0.000493976934737016,"down"
"SLC66A2",1.00846606932408e-08,-8.1794868348524,0,0.013,0.000493976934737016,"down"
"NCOR2",1.01184738195378e-08,-0.45825744311362,0.106,0.159,0.000495633203102418,"ns"
"PTPN9",1.03127087836304e-08,-0.473176897176162,0.106,0.159,0.000505147414348568,"ns"
"HS3ST5",1.03955923075414e-08,0.618806444777213,0.226,0.176,0.000509207298000303,"ns"
"DENND5A",1.12152617719494e-08,-0.355781074981519,0.128,0.186,0.000549357167375396,"ns"
"ADAMTS9-AS2",1.12409802308928e-08,-0.495487111712925,0.072,0.117,0.000550616934649822,"ns"
"HIF1A",1.24751949953274e-08,-0.494130801460579,0.106,0.158,0.000611072476456123,"ns"
"NDUFC1",1.26693533774347e-08,-0.640568095175287,0.04,0.075,0.000620582936486883,"ns"
"RAP1B",1.27002073697056e-08,-0.392134385234913,0.081,0.129,0.000622094257590288,"ns"
"CC2D2B",1.28122530312591e-08,-5.73737314817631,0,0.013,0.000627582590230166,"down"
"TRIP10",1.28279069389746e-08,-1.71456914228969,0.007,0.027,0.000628349365591793,"down"
"DHRSX",1.2889869860665e-08,-0.313034847047898,0.133,0.193,0.000631384495384955,"ns"
"PFN2",1.29006640225526e-08,-2.53877551133556,0.003,0.019,0.000631913225816694,"down"
"MDGA2",1.29046504847087e-08,-0.393719505430586,0.079,0.127,0.000632108494692486,"ns"
"ANKRD11",1.32232344826347e-08,-0.43205062424988,0.177,0.243,0.000647713694662895,"ns"
"CSMD2",1.32804980428317e-08,-0.718711657716726,0.035,0.069,0.000650518635632026,"ns"
"ATP10A",1.39228148794388e-08,-1.59483017166202,0.005,0.022,0.000681981241239551,"down"
"MAGI2",1.3984489253932e-08,0.156755038796964,0.866,0.843,0.00068500223712535,"ns"
"C1R",1.40544270910173e-08,-1.05499332868671,0.017,0.043,0.000688428002199303,"down"
"AP001528.1",1.45975128167348e-08,-8.0259216235228,0,0.012,0.000715029970302122,"down"
"NUP50-DT",1.45975128167348e-08,-8.30023136352272,0,0.012,0.000715029970302122,"down"
"WARS2-AS1",1.45975130908131e-08,-8.10959570574163,0,0.012,0.000715029983727296,"down"
"KHDC4",1.45975130908131e-08,-8.18650421243209,0,0.012,0.000715029983727296,"down"
"LINC02060",1.45975130908131e-08,-8.22973852324976,0,0.012,0.000715029983727296,"down"
"AC068587.4",1.45975130908131e-08,-8.17588200091952,0,0.012,0.000715029983727296,"down"
"SMARCC2",1.45975130908131e-08,-8.09212607479724,0,0.012,0.000715029983727296,"down"
"AL357153.2",1.45975130908131e-08,-8.234643488603,0,0.012,0.000715029983727296,"down"
"RETREG3",1.45975130908131e-08,-8.20246564292261,0,0.012,0.000715029983727296,"down"
"EGLN2",1.45975130908131e-08,-8.18316914174566,0,0.012,0.000715029983727296,"down"
"GAK",1.46429642839716e-08,-0.545909340806885,0.064,0.106,0.000717256319521783,"ns"
"TENM4",1.49147549846847e-08,-0.290905987941017,0.234,0.31,0.00073056944341481,"ns"
"YY1AP1",1.51216280607298e-08,-0.641207129309762,0.058,0.098,0.000740702707298725,"ns"
"GLUD1",1.51792902411025e-08,0.34532072658825,0.508,0.471,0.000743527173879923,"ns"
"LGI1",1.56188470921627e-08,0.430852698022422,0.344,0.292,0.000765057987115406,"ns"
"PSMA7",1.66233302952515e-08,-0.868312102037873,0.047,0.084,0.000814260587852306,"ns"
"UQCRQ",1.76280125472256e-08,-0.713870338546564,0.091,0.138,0.00086347293860075,"ns"
"FKBP8",1.77029272152429e-08,-0.514706247325889,0.066,0.109,0.000867142483784244,"ns"
"TOX",1.7719939943021e-08,0.368118328000416,0.414,0.364,0.000867975818228997,"ns"
"HMBOX1",1.77395168495748e-08,-0.267529405062306,0.198,0.27,0.000868934753842721,"ns"
"TIMM44",1.83700919253987e-08,-0.771805073944578,0.04,0.075,0.000899822212781803,"ns"
"AP1S2",1.86136103035199e-08,-0.626323174155163,0.038,0.072,0.000911750473497314,"ns"
