"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","threshold"
"KCND3",1.6510561862687e-08,-0.751882879916885,0.099,0.149,0.00080873685172,"ns"
"TTC28",1.68693240020367e-08,0.215633993500347,0.551,0.467,0.000826310097591766,"ns"
"SLC44A3",1.70236330218453e-08,-0.862274259633691,0.057,0.099,0.000833868616309048,"ns"
"PTPLB",1.70885804799261e-08,0.724267102189639,0.088,0.051,0.000837049937648221,"ns"
"KCNIP1",1.71375032227074e-08,-0.547667050485122,0.15,0.21,0.000839446320357875,"ns"
"APOL6",1.7799205328943e-08,-1.06474361591925,0.028,0.06,0.000871858474627614,"down"
"AC007193.10",1.82061256230064e-08,0.75573833038083,0.107,0.066,0.000891790651391724,"ns"
"HRSP12",1.83693587997197e-08,0.606356248483124,0.099,0.06,0.000899786302086672,"ns"
"NEGR1",1.84454336450129e-08,0.248930218630746,0.382,0.307,0.000903512676233666,"ns"
"ZFP36L2",1.85454260845892e-08,-0.814604221455851,0.081,0.127,0.000908410605901432,"ns"
"LMNTD1",1.92594091481077e-08,0.705343079374196,0.075,0.041,0.000943383638301758,"ns"
"SEPW1",1.94327846608512e-08,0.257565223220252,0.294,0.229,0.000951876091042474,"ns"
"RP11-106M3.2",1.95012617597926e-08,0.479597167628558,0.182,0.129,0.000955230304779921,"ns"
"C15orf41",1.97349386472417e-08,0.611895510825458,0.125,0.08,0.000966676499757843,"ns"
"SELENOT",2.02582080128831e-08,-7.98901427574033,0,0.014,0.000992307803095054,"down"
"PPP2CA",2.02582080128831e-08,-8.26261861658751,0,0.014,0.000992307803095054,"down"
"AFG1L",2.02582080128831e-08,-8.15740143335945,0,0.014,0.000992307803095054,"down"
"AC013643.2",2.02582080128831e-08,-8.13110793708332,0,0.014,0.000992307803095054,"down"
"HDGFL3",2.02582083832028e-08,-8.13663099774554,0,0.014,0.000992307821234423,"down"
"CCNL1",2.02866380626899e-08,-0.882243692552054,0.091,0.139,0.000993700392224742,"ns"
"CTD-2541M15.1",2.03995957489063e-08,0.72755922181661,0.085,0.048,0.000999233398568676,"ns"
"ACTB",2.07679765477463e-08,-0.575432179228789,0.35,0.403,0.00101727779523826,"ns"
"PAX6",2.08420468660768e-08,0.484167208246862,0.181,0.128,0.00102090598164104,"ns"
"PQLC1",2.14829296108329e-08,0.69157944463992,0.097,0.058,0.00105229834112743,"ns"
"RP11-281A20.2",2.16072045670164e-08,0.599863968920601,0.158,0.109,0.00105838570130616,"ns"
"HS3ST3A1",2.21709099754529e-08,0.680438941500942,0.089,0.051,0.00108599768332761,"ns"
"LINC01314",2.27884957217452e-08,0.499408796346821,0.139,0.092,0.00111624888593824,"ns"
"BAZ2B",2.35437939518806e-08,0.197262627466914,0.661,0.579,0.00115324565914497,"ns"
"RP11-864N7.2",2.38314506601646e-08,0.368814481769448,0.153,0.103,0.00116733594768684,"ns"
"TMEM108",2.52984525439319e-08,0.188477272709972,0.405,0.323,0.00123919410095942,"ns"
"PTPN9",2.57497857189419e-08,-0.856551484327329,0.109,0.159,0.00126130175387093,"ns"
"KRTCAP2",2.62852510577784e-08,-3.01716972752068,0.005,0.025,0.00128753045256316,"down"
